model,mu/p_induced,generations,trial,mutants
Darwinian,0.0001,16,0,25
Lamarckian,0.0001,16,0,4
Combined,0.0001,16,0,58
Darwinian,0.0001,16,1,100
Lamarckian,0.0001,16,1,7
Combined,0.0001,16,1,2086
Darwinian,0.0001,16,2,40
Lamarckian,0.0001,16,2,10
Combined,0.0001,16,2,53
Darwinian,0.0001,16,3,65
Lamarckian,0.0001,16,3,3
Combined,0.0001,16,3,44
Darwinian,0.0001,16,4,47
Lamarckian,0.0001,16,4,4
Combined,0.0001,16,4,64
Darwinian,0.0001,16,5,77
Lamarckian,0.0001,16,5,14
Combined,0.0001,16,5,53
Darwinian,0.0001,16,6,139
Lamarckian,0.0001,16,6,9
Combined,0.0001,16,6,49
Darwinian,0.0001,16,7,580
Lamarckian,0.0001,16,7,5
Combined,0.0001,16,7,89
Darwinian,0.0001,16,8,50
Lamarckian,0.0001,16,8,10
Combined,0.0001,16,8,19
Darwinian,0.0001,16,9,93
Lamarckian,0.0001,16,9,10
Combined,0.0001,16,9,35
Darwinian,0.0001,16,10,146
Lamarckian,0.0001,16,10,7
Combined,0.0001,16,10,79
Darwinian,0.0001,16,11,42
Lamarckian,0.0001,16,11,10
Combined,0.0001,16,11,26
Darwinian,0.0001,16,12,66
Lamarckian,0.0001,16,12,11
Combined,0.0001,16,12,277
Darwinian,0.0001,16,13,2095
Lamarckian,0.0001,16,13,6
Combined,0.0001,16,13,40
Darwinian,0.0001,16,14,61
Lamarckian,0.0001,16,14,7
Combined,0.0001,16,14,37
Darwinian,0.0001,16,15,37
Lamarckian,0.0001,16,15,9
Combined,0.0001,16,15,38
Darwinian,0.0001,16,16,23
Lamarckian,0.0001,16,16,8
Combined,0.0001,16,16,32
Darwinian,0.0001,16,17,408
Lamarckian,0.0001,16,17,5
Combined,0.0001,16,17,90
Darwinian,0.0001,16,18,33
Lamarckian,0.0001,16,18,7
Combined,0.0001,16,18,115
Darwinian,0.0001,16,19,212
Lamarckian,0.0001,16,19,8
Combined,0.0001,16,19,22
Darwinian,0.0001,16,20,160
Lamarckian,0.0001,16,20,3
Combined,0.0001,16,20,288
Darwinian,0.0001,16,21,39
Lamarckian,0.0001,16,21,5
Combined,0.0001,16,21,27
Darwinian,0.0001,16,22,26
Lamarckian,0.0001,16,22,7
Combined,0.0001,16,22,27
Darwinian,0.0001,16,23,95
Lamarckian,0.0001,16,23,5
Combined,0.0001,16,23,44
Darwinian,0.0001,16,24,50
Lamarckian,0.0001,16,24,9
Combined,0.0001,16,24,40
Darwinian,0.0001,16,25,46
Lamarckian,0.0001,16,25,8
Combined,0.0001,16,25,29
Darwinian,0.0001,16,26,66
Lamarckian,0.0001,16,26,5
Combined,0.0001,16,26,61
Darwinian,0.0001,16,27,105
Lamarckian,0.0001,16,27,5
Combined,0.0001,16,27,60
Darwinian,0.0001,16,28,89
Lamarckian,0.0001,16,28,2
Combined,0.0001,16,28,22
Darwinian,0.0001,16,29,297
Lamarckian,0.0001,16,29,10
Combined,0.0001,16,29,22
Darwinian,0.0001,16,30,41
Lamarckian,0.0001,16,30,5
Combined,0.0001,16,30,54
Darwinian,0.0001,16,31,41
Lamarckian,0.0001,16,31,7
Combined,0.0001,16,31,58
Darwinian,0.0001,16,32,54
Lamarckian,0.0001,16,32,7
Combined,0.0001,16,32,113
Darwinian,0.0001,16,33,48
Lamarckian,0.0001,16,33,5
Combined,0.0001,16,33,180
Darwinian,0.0001,16,34,51
Lamarckian,0.0001,16,34,9
Combined,0.0001,16,34,328
Darwinian,0.0001,16,35,93
Lamarckian,0.0001,16,35,7
Combined,0.0001,16,35,21
Darwinian,0.0001,16,36,148
Lamarckian,0.0001,16,36,8
Combined,0.0001,16,36,34
Darwinian,0.0001,16,37,24
Lamarckian,0.0001,16,37,6
Combined,0.0001,16,37,14
Darwinian,0.0001,16,38,66
Lamarckian,0.0001,16,38,5
Combined,0.0001,16,38,38
Darwinian,0.0001,16,39,46
Lamarckian,0.0001,16,39,7
Combined,0.0001,16,39,158
Darwinian,0.0001,16,40,31
Lamarckian,0.0001,16,40,9
Combined,0.0001,16,40,64
Darwinian,0.0001,16,41,56
Lamarckian,0.0001,16,41,8
Combined,0.0001,16,41,34
Darwinian,0.0001,16,42,18
Lamarckian,0.0001,16,42,7
Combined,0.0001,16,42,310
Darwinian,0.0001,16,43,30
Lamarckian,0.0001,16,43,4
Combined,0.0001,16,43,112
Darwinian,0.0001,16,44,9
Lamarckian,0.0001,16,44,14
Combined,0.0001,16,44,83
Darwinian,0.0001,16,45,32
Lamarckian,0.0001,16,45,11
Combined,0.0001,16,45,88
Darwinian,0.0001,16,46,164
Lamarckian,0.0001,16,46,5
Combined,0.0001,16,46,26
